geometry,Crime Type:,Occurrence Date/Time:,Location:,City:,Neighbourhood:,Prevention Tips:,Victim's Guide:
"X: 491833.5672, Y: 5459286.8751, Z: NaN",Mischief,2026-04-04T21:00:00.0000000,2XX GRANVILLE ST,VAN,Central Business District,,
"X: 492763.1439, Y: 5458937.7766, Z: NaN",Mischief,2026-04-14T05:00:00.0000000,2XX POWELL ST,VAN,Strathcona,,
"X: 492765.8292, Y: 5458937.6952, Z: NaN",Mischief,2026-04-08T06:00:00.0000000,2XX POWELL ST,VAN,Strathcona,,
"X: 495207.6948, Y: 5456513.4605, Z: NaN",Mischief,2026-04-11T04:30:00.0000000,26XX VICTORIA DR,VAN,Kensington-Cedar Cottage,,
"X: 497651.1892, Y: 5456156.7387, Z: NaN",Mischief,2026-04-03T18:00:00.0000000,33XX GRANDVIEW HWY,VAN,Renfrew-Collingwood,,
"X: 485691.5899, Y: 5456288.6337, Z: NaN",Mischief,2026-04-10T08:10:00.0000000,40XX W 15TH AVE,VAN,West Point Grey,,
"X: 486086.3754, Y: 5453528.4226, Z: NaN",Mischief,2026-04-12T04:08:00.0000000,57XX WALLACE ST,VAN,Dunbar-Southlands,,
"X: 497777.8623, Y: 5453096.0678, Z: NaN",Mischief,2026-04-07T05:00:00.0000000,58XX BATTISON ST,VAN,Killarney,,
"X: 498280.3462, Y: 5453107.593, Z: NaN",Mischief,2026-04-05T16:21:00.0000000,58XX BOUNDARY RD,VAN,Killarney,,
"X: 493079.4692, Y: 5459028.9542, Z: NaN",Mischief,2026-04-14T17:03:00.0000000,4XX ALEXANDER ST,VAN,Strathcona,,
"X: 491494.4118, Y: 5459380.2692, Z: NaN",Mischief,2026-04-04T11:06:00.0000000,4XX BURRARD ST,VAN,Central Business District,,
"X: 491883.3839, Y: 5458633.4362, Z: NaN",Mischief,2026-04-13T17:54:00.0000000,6XX CAMBIE ST,VAN,Central Business District,,
"X: 493279.7703, Y: 5452934.5415, Z: NaN",Mischief,2026-04-09T20:56:00.0000000,6XX E 45TH AVE,VAN,Sunset,,
"X: 491402.7991, Y: 5458863.8718, Z: NaN",Mischief,2026-04-09T04:49:00.0000000,7XX W GEORGIA ST,VAN,Central Business District,,
"X: 491643.4738, Y: 5459104.1741, Z: NaN",Mischief,2026-04-07T05:38:00.0000000,7XX W PENDER ST,VAN,Central Business District,,
"X: 494393.9943, Y: 5450930.8984, Z: NaN",Mischief,2026-04-07T00:32:00.0000000,80XX KNIGHT ST,VAN,Victoria-Fraserview,,
"X: 493126.6699, Y: 5450996.1349, Z: NaN",Mischief,2026-04-06T03:47:00.0000000,80XX ST GEORGE ST,VAN,Sunset,,
"X: 490285.198, Y: 5450549.5428, Z: NaN",Mischief,2026-04-05T04:00:00.0000000,86XX SELKIRK ST,VAN,Marpole,,
"X: 492206.8702, Y: 5458693.4618, Z: NaN",Mischief,2026-04-11T21:11:00.0000000,8X W PENDER ST,VAN,Central Business District,,
"X: 492061.6988, Y: 5458981.8422, Z: NaN",Mischief,2026-04-03T23:30:00.0000000,CAMBIE ST / W CORDOVA ST,VAN,Central Business District,,
"X: 491994.9503, Y: 5458762.165, Z: NaN",Mischief,2026-04-07T19:15:00.0000000,CAMBIE ST / W PENDER ST,VAN,Central Business District,,
"X: 495080.9312, Y: 5457809.8739, Z: NaN",Mischief,2026-04-10T22:00:00.0000000,CHARLES ST / SALSBURY DR,VAN,Grandview-Woodland,,
"X: 494368.1247, Y: 5457062.3155, Z: NaN",Mischief,2026-04-16T00:17:00.0000000,CLARK DR / GRANDVIEW HWY N,VAN,Grandview-Woodland,,
"X: 492569.9919, Y: 5458508.4776, Z: NaN",Mischief,2026-04-05T15:16:00.0000000,COLUMBIA ST / KEEFER ST,VAN,Central Business District,,
"X: 489727.4056, Y: 5459670.1556, Z: NaN",Mischief,2026-04-03T16:00:00.0000000,COMOX ST / GILFORD ST,VAN,West End,,
"X: 494795.4476, Y: 5457632.5194, Z: NaN",Mischief,2026-04-10T20:55:00.0000000,COTTON DR / GRANT ST,VAN,Grandview-Woodland,,
"X: 495187.801, Y: 5450961.2297, Z: NaN",Mischief,2026-04-03T18:19:00.0000000,E 64TH AVE / VICTORIA DR,VAN,Victoria-Fraserview,,
"X: 497537.9178, Y: 5456682.8688, Z: NaN",Mischief,2026-04-10T03:18:00.0000000,E 8TH AVE / RUPERT ST,VAN,Hastings-Sunrise,,
"X: 493208.2843, Y: 5458829.1022, Z: NaN",Mischief,2026-04-14T08:29:00.0000000,E CORDOVA ST / JACKSON AVE,VAN,Strathcona,,
"X: 490748.7893, Y: 5458113.5786, Z: NaN",Offence Against a Person,2026-04-07T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490756.3082, Y: 5458644.5072, Z: NaN",Offence Against a Person,2026-04-15T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491575.691, Y: 5459324.2798, Z: NaN",Offence Against a Person,2026-04-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 491150.6187, Y: 5459036.8701, Z: NaN",Offence Against a Person,2026-04-04T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,West End,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493057.2855, Y: 5458620.9987, Z: NaN",Offence Against a Person,2026-04-08T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493057.2855, Y: 5458620.9987, Z: NaN",Offence Against a Person,2026-04-08T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493691.5668, Y: 5452517.9866, Z: NaN",Offence Against a Person,2026-04-02T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Sunset,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493695.4906, Y: 5454749.5853, Z: NaN",Offence Against a Person,2026-04-14T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 496798.7811, Y: 5459115.304, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 494921.5819, Y: 5456687.7277, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 495052.739, Y: 5454580.8431, Z: NaN",Offence Against a Person,2026-04-08T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493003.6818, Y: 5456481.2427, Z: NaN",Offence Against a Person,2026-04-10T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 488933.8283, Y: 5453746.9925, Z: NaN",Offence Against a Person,2026-04-05T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Shaughnessy,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 488808.8404, Y: 5456690.9063, Z: NaN",Offence Against a Person,2026-04-03T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492742.1058, Y: 5458429.1691, Z: NaN",Offence Against a Person,2026-04-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492569.0205, Y: 5459010.0124, Z: NaN",Offence Against a Person,2026-04-13T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 493057.2855, Y: 5458620.9987, Z: NaN",Offence Against a Person,2026-04-08T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 492938.8379, Y: 5458424.7441, Z: NaN",Offence Against a Person,2026-04-12T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 486618.1436, Y: 5456457.559, Z: NaN",Offence Against a Person,2026-04-07T07:00:00.0000000,OFFSET TO PROTECT PRIVACY,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/personal-safety/,
"X: 490537.0929, Y: 5458548.0291, Z: NaN",Other Theft,2026-04-11T13:17:00.0000000,10XX DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490565.3884, Y: 5458520.1278, Z: NaN",Other Theft,2026-04-05T10:34:00.0000000,10XX DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489839.3948, Y: 5459560.8832, Z: NaN",Other Theft,2026-04-09T06:20:00.0000000,10XX DENMAN ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489839.3948, Y: 5459560.8832, Z: NaN",Other Theft,2026-04-11T12:21:00.0000000,10XX DENMAN ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493918.1424, Y: 5455547.3862, Z: NaN",Other Theft,2026-04-13T12:00:00.0000000,10XX E 20TH AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493973.5787, Y: 5453740.7165, Z: NaN",Other Theft,2026-04-08T21:01:00.0000000,10XX E 37TH AVE,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490729.8291, Y: 5458622.3417, Z: NaN",Other Theft,2026-04-03T19:13:00.0000000,10XX BURRARD ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491493.3146, Y: 5459541.9753, Z: NaN",Other Theft,2026-04-07T00:00:00.0000000,10XX CANADA PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490469.9449, Y: 5458627.0837, Z: NaN",Other Theft,2026-04-02T12:02:00.0000000,10XX DAVIE ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490751.6156, Y: 5458494.0611, Z: NaN",Other Theft,2026-04-04T19:00:00.0000000,11XX HORNBY ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490930.0149, Y: 5458079.245, Z: NaN",Other Theft,2026-04-10T23:00:00.0000000,12XX RICHARDS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491331.3656, Y: 5457967.737, Z: NaN",Other Theft,2026-04-02T22:52:00.0000000,11XX PACIFIC BLVD,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490123.8911, Y: 5457767.4783, Z: NaN",Other Theft,2026-04-11T00:30:00.0000000,16XX JOHNSTON ST,VAN,Fairview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 494727.9509, Y: 5458969.832, Z: NaN",Other Theft,2026-04-15T00:02:00.0000000,16XX POWELL ST,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491017.8081, Y: 5459519.5632, Z: NaN",Other Theft,2026-04-02T19:30:00.0000000,12XX W PENDER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490701.4385, Y: 5459483.7655, Z: NaN",Other Theft,2026-04-05T00:36:00.0000000,13XX ALBERNI ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 494620.9347, Y: 5458726.3382, Z: NaN",Other Theft,2026-04-14T00:38:00.0000000,15XX E HASTINGS ST,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 494620.9347, Y: 5458726.3382, Z: NaN",Other Theft,2026-04-15T19:00:00.0000000,15XX E HASTINGS ST,VAN,Grandview-Woodland,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492122.6441, Y: 5458572.1096, Z: NaN",Other Theft,2026-04-15T01:37:00.0000000,1XX KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492124.2018, Y: 5458571.754, Z: NaN",Other Theft,2026-04-10T02:00:00.0000000,1XX KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492124.2018, Y: 5458571.754, Z: NaN",Other Theft,2026-04-12T23:07:00.0000000,1XX KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492124.2018, Y: 5458571.754, Z: NaN",Other Theft,2026-04-14T18:05:00.0000000,1XX KEEFER PL,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489793.0754, Y: 5459611.0478, Z: NaN",Other Theft,2026-04-11T19:40:00.0000000,18XX COMOX ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 488485.573, Y: 5454829.6284, Z: NaN",Other Theft,2026-04-15T17:00:00.0000000,22XX EDDINGTON DR,VAN,Arbutus Ridge,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 486484.4111, Y: 5457255.4503, Z: NaN",Other Theft,2026-04-06T00:31:00.0000000,20XX ALMA ST,VAN,West Point Grey,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 486484.4111, Y: 5457255.4503, Z: NaN",Other Theft,2026-04-14T02:48:00.0000000,20XX ALMA ST,VAN,West Point Grey,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 496590.7519, Y: 5457399.7562, Z: NaN",Other Theft,2026-04-08T18:24:00.0000000,28XX E 1ST AVE,VAN,Hastings-Sunrise,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 488020.3796, Y: 5456612.3493, Z: NaN",Other Theft,2026-04-08T16:00:00.0000000,27XX TRAFALGAR ST,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 487846.3908, Y: 5456828.7646, Z: NaN",Other Theft,2026-04-05T19:53:00.0000000,27XX W BROADWAY AVE,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 487846.3908, Y: 5456828.7646, Z: NaN",Other Theft,2026-04-12T16:05:00.0000000,27XX W BROADWAY AVE,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 487846.3908, Y: 5456828.7646, Z: NaN",Other Theft,2026-04-13T19:15:00.0000000,27XX W BROADWAY AVE,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492357.3899, Y: 5458772.2719, Z: NaN",Other Theft,2026-04-02T09:20:00.0000000,2X W HASTINGS ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492753.2254, Y: 5458914.6531, Z: NaN",Other Theft,2026-04-11T00:16:00.0000000,2XX MAIN ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492865.1914, Y: 5458321.0623, Z: NaN",Other Theft,2026-04-06T11:59:00.0000000,2XX UNION ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492789.5897, Y: 5458333.1549, Z: NaN",Other Theft,2026-04-04T19:23:00.0000000,2XX UNION ST,VAN,Strathcona,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497071.4676, Y: 5451926.5763, Z: NaN",Other Theft,2026-04-11T21:32:00.0000000,31XX E 54TH AVE,VAN,Killarney,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497401.4578, Y: 5453479.6691, Z: NaN",Other Theft,2026-04-13T06:40:00.0000000,33XX KINGSWAY AVE,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491555.5452, Y: 5458465.0691, Z: NaN",Other Theft,2026-04-15T18:59:00.0000000,3XX ROBSON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492006.9012, Y: 5459085.9853, Z: NaN",Other Theft,2026-04-04T20:22:00.0000000,3XX WATER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492650.4029, Y: 5455179.3696, Z: NaN",Other Theft,2026-04-10T02:00:00.0000000,40XX MAIN ST,VAN,Riley Park,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493453.0664, Y: 5455031.5741, Z: NaN",Other Theft,2026-04-08T19:45:00.0000000,41XX FRASER ST,VAN,Kensington-Cedar Cottage,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 486516.4442, Y: 5455132.9432, Z: NaN",Other Theft,2026-04-05T20:58:00.0000000,42XX DUNBAR ST,VAN,Dunbar-Southlands,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 496646.8388, Y: 5454826.0567, Z: NaN",Other Theft,2026-04-07T20:00:00.0000000,43XX ATLIN ST,VAN,Renfrew-Collingwood,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 493125.1219, Y: 5456521.1359, Z: NaN",Other Theft,2026-04-09T08:44:00.0000000,4XX E 10TH AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491494.576, Y: 5458528.6491, Z: NaN",Other Theft,2026-04-04T00:44:00.0000000,4XX ROBSON ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491521.9389, Y: 5450841.3824, Z: NaN",Other Theft,2026-04-09T17:13:00.0000000,4XX SW MARINE DR,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491533.169, Y: 5450848.1457, Z: NaN",Other Theft,2026-04-04T04:37:00.0000000,4XX SW MARINE DR,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491550.0141, Y: 5450858.2906, Z: NaN",Other Theft,2026-04-09T23:37:00.0000000,4XX SW MARINE DR,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491572.4742, Y: 5450871.8171, Z: NaN",Other Theft,2026-04-06T03:00:00.0000000,4XX SW MARINE DR,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491572.4742, Y: 5450871.8171, Z: NaN",Other Theft,2026-04-16T04:25:00.0000000,4XX SW MARINE DR,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491416.1372, Y: 5459314.3378, Z: NaN",Other Theft,2026-04-09T19:00:00.0000000,5XX BURRARD ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 492562.7835, Y: 5458577.7511, Z: NaN",Other Theft,2026-04-03T02:40:00.0000000,5XX COLUMBIA ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491461.7184, Y: 5458912.3288, Z: NaN",Other Theft,2026-04-03T22:01:00.0000000,6XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491461.7184, Y: 5458912.3288, Z: NaN",Other Theft,2026-04-07T21:31:00.0000000,6XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491461.7184, Y: 5458912.3288, Z: NaN",Other Theft,2026-04-11T00:25:00.0000000,6XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491461.7184, Y: 5458912.3288, Z: NaN",Other Theft,2026-04-15T02:11:00.0000000,6XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491461.7184, Y: 5458912.3288, Z: NaN",Other Theft,2026-04-15T02:36:00.0000000,6XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 495583.0769, Y: 5451425.5578, Z: NaN",Other Theft,2026-04-02T22:34:00.0000000,75XX STIRLING ST,VAN,Victoria-Fraserview,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 497117.2049, Y: 5451315.2867, Z: NaN",Other Theft,2026-04-11T21:00:00.0000000,77XX MUNROE CRES,VAN,Killarney,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491243.9036, Y: 5458706.0454, Z: NaN",Other Theft,2026-04-11T22:26:00.0000000,8XX GRANVILLE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491450.1043, Y: 5458488.1964, Z: NaN",Other Theft,2026-04-08T17:13:00.0000000,8XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491450.1043, Y: 5458488.1964, Z: NaN",Other Theft,2026-04-11T16:11:00.0000000,8XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491450.1043, Y: 5458488.1964, Z: NaN",Other Theft,2026-04-14T03:11:00.0000000,8XX HOMER ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490738.8757, Y: 5458349.4591, Z: NaN",Other Theft,2026-04-06T06:31:00.0000000,8XX DAVIE ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490057.9669, Y: 5459768.1651, Z: NaN",Other Theft,2026-04-05T22:05:00.0000000,8XX DENMAN ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490057.9669, Y: 5459768.1651, Z: NaN",Other Theft,2026-04-06T01:16:00.0000000,8XX DENMAN ST,VAN,West End,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489762.8292, Y: 5450782.7152, Z: NaN",Other Theft,2026-04-06T19:30:00.0000000,84XX GRANVILLE ST,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 489762.8566, Y: 5450783.8268, Z: NaN",Other Theft,2026-04-06T15:51:00.0000000,84XX GRANVILLE ST,VAN,Marpole,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 486491.6006, Y: 5457332.8651, Z: NaN",Other Theft,2026-04-12T02:08:00.0000000,ALMA ST / W 4TH AVE,VAN,Kitsilano,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 491141.3075, Y: 5458443.6374, Z: NaN",Other Theft,2026-04-07T22:06:00.0000000,9XX SEYMOUR ST,VAN,Central Business District,https://vpd.ca/crime-prevention-safety/property-theft/,
"X: 490729.6302, Y: 5458622.1395, Z: NaN",Theft from Vehicle,2026-04-03T05:22:00.0000000,10XX BURRARD ST,VAN,West End,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
"X: 494152.572, Y: 5456107.427, Z: NaN",Theft from Vehicle,2026-04-10T15:49:00.0000000,11XX E 14TH AVE,VAN,Mount Pleasant,https://vpd.ca/crime-prevention-safety/theft-from-vehicles/,
